id,controle,familia,feature,transporte,aparelho_aceita,aparelho_confianca,aparelho_evidencia,hefesto_aciona,codigo_ref,canal,comando,report_id,offset,detalhe,teste_que_morde,mordida,mordida_provada_em,grau,provado_em,provado_por,validade_dias,assimetria_declarada,estado_hoje,ressalva
pro.bot_es_e_d_pad_a_b_x_y_l_r_zl_zr_home_captur.usb,pro,entrada,"Botões e D-pad (A/B/X/Y, L/R, ZL/ZR, −, +, Home, Capture, L3/R3)",usb,sim,inferido-do-codigo,procon_button_mappings no driver; joycon_config_dpad; coop.py cria _SecondaryPlayer com evdev_path,sim,"assets/dkms/hid-nintendo/hid-nintendo.c:418-439, :496-509, :2440-2455; src/hefesto_dualsense4unix/core/evdev_reader.py:1069-1083",evdev,"report de ENTRADA 0x30 (49 B no fio: 1 de ID + 48 de corpo), bitmap de 24 bits em `btns`; o kernel publica no nó evdev `Pro Controller`",0x30 (entrada),"JC_BTN_* = BIT(0..23): Y=0, X=1, B=2, A=3, R=6, ZR=7, MINUS=8, PLUS=9, RSTICK=10, LSTICK=11, HOME=12, CAP=13, DOWN=16, UP=17, RIGHT=18, LEFT=19, L=22, ZL=23",O Hefesto NÃO adota o Pro no backend (o PyDualSenseController só abre VID/PID de DualSense). Mas o `GamepadReader` do co-op abre o nó evdev dele e lê botões/dpad para alimentar o vpad do jogador secundário.,,,,MONTOU,,,,,,"O report 0x3F (""botões simples"" de HID puro) é declarado no descritor e NUNCA chega: o driver pede SET_REPORT_MODE=0x30 e o Linux nunca pede outro modo."
pro.bot_es_e_d_pad_a_b_x_y_l_r_zl_zr_home_captur.bluetooth,pro,entrada,"Botões e D-pad (A/B/X/Y, L/R, ZL/ZR, −, +, Home, Capture, L3/R3)",bluetooth,sim,medido,"docs/protocol/externos-referencia-canonica.md §3.3, grau MEDIDO AQUI (07/08/2026)",sim,"assets/dkms/hid-nintendo/hid-nintendo.c:867-881 (__joycon_hid_send, sem CRC nenhum)",evdev,"IDÊNTICO ao cabo — report de ENTRADA 0x30, mesmo envelope, SEM CRC. O Bluetooth não muda o report do Pro (o oposto do DualSense).",0x30 (entrada),mesmos JC_BTN_* do cabo,"MEDIDO: 536 relatórios em 6,0 s, TODOS 0x30, TODOS de 49 bytes. Nada de 0x3F, nada de 0x21 fora de subcomando.",,,,MONTOU,,,,,,"A única diferença de conteúdo entre os barramentos é o report de SAÍDA 0x80 (comandos de USB), que só existe no cabo."
pro.anal_gicos_dois_sticks_faixa_32767_32767.usb,pro,entrada,"Analógicos (dois sticks, faixa −32767..32767)",usb,sim,inferido-do-codigo,joycon_config_left_stick/right_stick; comentário do evdev_reader sobre a divergência de faixa,sim,"assets/dkms/hid-nintendo/hid-nintendo.c:2260-2290; src/hefesto_dualsense4unix/core/evdev_reader.py:62,:90,:1114-1118",evdev,"ABS_X/ABS_Y (esquerdo) e ABS_RX/ABS_RY (direito), 12 bits crus do report 0x30 mapeados pela calibração da flash SPI",0x30 (entrada),"JC_MAX_STICK_MAG = 32767, fuzz 250, flat 500","A faixa do Pro é ±32767 e a do DualSense é 0..255 — o `evdev_reader` lê o `absinfo` no open justamente por isso (LUGAR-À-MESA-01/E2); no Pro o CENTRO do analógico é 0, que com o `& 0xFF` histórico viraria ""tudo para a esquerda"".",,,,MONTOU,,,,,,
pro.anal_gicos_dois_sticks_faixa_32767_32767.bluetooth,pro,entrada,"Analógicos (dois sticks, faixa −32767..32767)",bluetooth,sim,inferido-do-codigo,o driver não tem nenhum ramo de bus na configuração de eixos,sim,assets/dkms/hid-nintendo/hid-nintendo.c:2440-2455,evdev,"idêntico ao cabo — mesmo report 0x30, mesmos eixos evdev",0x30 (entrada),JC_MAX_STICK_MAG = 32767,,,,,MONTOU,,,,,,
pro.gatilhos_zl_zr_s_o_digitais_n_o_h_eixo_anal_.usb,pro,gatilho,"Gatilhos ZL/ZR — são DIGITAIS, não há eixo analógico",usb,não,medido,"medido em 06/08/2026 e escrito no código: ""O Nintendo Pro não publica ABS_Z/ABS_RZ — o ZL/ZR dele é botão, não eixo""",sim,"src/hefesto_dualsense4unix/core/evdev_reader.py:1119-1124, :1353-1372; assets/dkms/hid-nintendo/hid-nintendo.c:2440-2455 (joycon_input_create do procon: só sticks, dpad e botões)",evdev,ZL/ZR chegam como BTN_TL2/BTN_TR2 (EV_KEY). O driver NÃO publica ABS_Z nem ABS_RZ para o Pro.,,"JC_BTN_ZL = BIT(23), JC_BTN_ZR = BIT(7)",O Hefesto SINTETIZA o eixo: `_sintetizar_gatilho` transforma o botão em 0/255 quando o `absinfo` do open confirmou que o eixo FALTA neste aparelho. Sem isso o gatilho ficava 0 para sempre no vpad do Pro.,,,,MONTOU,,,,,,A síntese NUNCA liga num DualSense — lá o eixo existe e sobrescrevê-lo mataria o gatilho adaptativo.
pro.gatilhos_zl_zr_s_o_digitais_n_o_h_eixo_anal_.bluetooth,pro,gatilho,"Gatilhos ZL/ZR — são DIGITAIS, não há eixo analógico",bluetooth,não,medido,,sim,src/hefesto_dualsense4unix/core/evdev_reader.py:1353-1372,evdev,"idêntico ao cabo — BTN_TL2/BTN_TR2, sem ABS_Z/ABS_RZ",,"JC_BTN_ZL = BIT(23), JC_BTN_ZR = BIT(7)",mesma síntese digital→0/255 do cabo,,,,MONTOU,,,,,,
pro.gatilhos_adaptativos_resist_ncia_for_a_por_z.nenhum,pro,gatilho,Gatilhos adaptativos (resistência/força por zona),nenhum,não,inferido-do-codigo,grep exaustivo nas constantes JC_SUBCMD_* e nos reports de saída 0x01/0x03/0x10/0x11/0x80,não,"assets/dkms/hid-nintendo/hid-nintendo.c:120-149, :1226,:1240,:1265,:1549,:1562,:1575,:2704",outro,nao-localizado — o aparelho NÃO TEM. Não há bloco de gatilho em report de saída nenhum do protocolo Switch.,,,"AUSÊNCIA CONFIRMADA: os sete construtores de subcomando do driver (grep `subcmd_id = JC_SUBCMD` devolve exatamente 7 linhas) não incluem nada de gatilho, e a lista de subcomandos do cabeçalho (0x00 a 0x50) não tem nenhum.",,,,,,,,,,O jogo que escrever um bloco de gatilho no vpad do Pro tem essa réplica DESCARTADA no backend (o MAC do Pro não casa handle nenhum) — não há para onde mandar.
pro.rumble_hd_rumble_dois_motores_lineares.usb,pro,vibracao,"Rumble (HD rumble, dois motores lineares)",usb,sim,inferido-do-codigo,joycon_config_rumble + joycon_play_effect; a superfície INTEIRA de escrita do Hefesto em externo são duas funções (apply_player_number e enable_imu),não,"assets/dkms/hid-nintendo/hid-nintendo.c:2245-2256, :2318-2330, :2044-2077; src/hefesto_dualsense4unix/core/external_leds.py:170-192, :375-390",evdev,"report de SAÍDA 0x10 (rumble puro, 48 B de corpo), reenviado a cada 50 ms enquanto houver efeito; 5 pacotes de amplitude zero para PARAR. Exposto ao espaço de usuário só como EV_FF/FF_RUMBLE via `input_ff_create_memless`.","0x10 (saída, rumble puro) e 0x01 (rumble + subcomando)","strong_magnitude → motor ESQUERDO, weak_magnitude → motor DIREITO; JC_RUMBLE_PERIOD_MS = 50, JC_RUMBLE_ZERO_AMP_PKT_CNT = 5","O Hefesto NUNCA escreve rumble no Pro. Não há uma linha de FF/EV_FF apontando para externo em toda a árvore. Quem vibra o Pro é o JOGO (ou a Steam), direto no nó evdev dele, pelo kernel.",,,,,,,,,,Cada pacote de rumble passa pelo MESMO limitador de subcomando (20 ms por USB) — rumble e LED disputam a mesma janela de TX.
pro.rumble_hd_rumble_dois_motores_lineares.bluetooth,pro,vibracao,"Rumble (HD rumble, dois motores lineares)",bluetooth,sim,inferido-do-codigo,"relato público independente (30/01/2021, dois adaptadores, `Bluetooth: Frame is too long (len 54, expected len 51)`) de o Pro cair por BT com rumble ligado — GRAU MÉDIA, não conferido nesta máquina",não,"assets/dkms/hid-nintendo/hid-nintendo.c:971-1047, :2069; assets/modprobe.d/hefesto-hid-nintendo.conf:11-16",evdev,"mesmo report 0x10, mesma tubulação de 50 ms — MAS o limitador de taxa exige 60 ms entre envios por rádio (contra 20 ms no cabo)",0x10 (saída),JC_SUBCMD_RATE_LIMITER_BT_MS = 60,"Com `skip_tx_on_rate_exceeded=1` (ligado no modprobe.d desta casa), estourar 25 tentativas faz o driver devolver -EAGAIN e NENHUM byte ir ao rádio — no vanilla ele transmitiria sem ritmo, que é o que derruba o link.",,,,,,,,,,"SEGUNDO ESCRITOR: qualquer jogo/Steam vibrando o Pro produz as MESMAS linhas de `exceeded max attempts` sem nenhuma escrita do Hefesto no journal. O E-1 concluiu ""não há segundo escritor NESTA janela"" — e a janela dele não tinha jogo com rumble no Pro."
pro.rumble_as_frequ_ncias_hd_41_626_hz_banda_bai.usb,pro,vibracao,"Rumble — as frequências HD (41–626 Hz banda baixa, 82–1253 Hz banda alta)",usb,parcial,inferido-do-codigo,"tabela e clamp explícitos no módulo carregado nesta máquina; a PROVENIÊNCIA da tabela é de comunidade (dekuNukem, citado no comentário do próprio código)",não,"assets/dkms/hid-nintendo/hid-nintendo.c:277-337, :2162-2186",evdev,"a tabela `joycon_rumble_frequencies` está NO DRIVER (41 Hz a 1253 Hz), mas as frequências ficam presas nos defaults 160 Hz (baixa) e 320 Hz (alta): o evdev só expõe FF_RUMBLE (magnitude), nunca frequência.",,"JC_RUMBLE_DFLT_LOW_FREQ = 160, JC_RUMBLE_DFLT_HIGH_FREQ = 320; clamp baixa 41–626, alta 82–1253",Chegar às frequências exige hidraw CRU — o evdev não tem verbo para isso. O Hefesto não escreve rumble no Pro em canal nenhum.,,,,,,,,,,"AVISO DE HARDWARE, fonte única de comunidade e por isso a ser respeitado e não testado: ""don't use real maximum values for Amplitude. Otherwise, they can damage the linear actuators""."
