comportamento,aba,dono,onde_html,veredito,economia_linhas,razao
perfil.valendo.no_gravar,10,app/actions/profiles_actions.py:perfil_que_esta_valendo,interface/pacotes/perfil.py:gravar_e_reaplicar,CURADO,,Lia `active_profile` cru; com o daemon respondendo null o `profile.switch` nunca saía. Curado em 05/09/2026 — régua test_o_salvar_reaplica_no_controle.py
radio.ocupacao.para_a_tela,08,integrations/radio_da_mesa.py:ocupacao_por_adaptador,interface/pacotes/a08_conexoes.py:_adaptadores,CURADO,,AttributeError engolido: a chave `adaptadores` era sempre {}. Curado em 05/09/2026 — régua test_a_ponte_da_ocupacao_de_radio_passa_trafego.py
transporte.palavra_curta,01,app/actions/home_actions.py:palavra_do_transporte,interface/mesa_viva.py:_via_do_transporte,CURADO,,"O `else` pegava a ausência e a tela dizia BT sobre campo vazio. Curado em 05/09/2026 — régua test_a_tela_nao_inventa_o_transporte.py. || O DONO MUDOU EM 06/09/2026, e esta linha o seguiu em 06/09 (A-CURA-DOS-DOIS-PORTOES-01). A costura da ONDA B levou a palavra curta para a dona da frase, `home_actions.palavra_do_transporte` (a decisão D-05 dela: *""cabo / rádio, pela função que já existe""*), e o `pacotes.VIA_DO_TRANSPORTE` deixou de ser o dono desta tela. A linha continuava apontando para ele e o portão dava VERDE — porque o nome velho sobrevive num COMENTÁRIO de `mesa_viva.py:382` que conta a história. Era a ponte caída que a regra 2 existe para pegar, e ela passou por cima. A régua passou a ler o código com `ast`, não o texto."
daemon.de_pe,09,app/actions/daemon_actions.py:DaemonActionsMixin,gui/aba_sistema.py:_de_pe_do_dono,CURADO,,Faltava `iniciando`: a tela dizia Ligando e o botão dizia Ativar. Curado em 05/09/2026 — régua test_a_matriz_do_daemon_e_uma_so.py
aviso.jogo_sem_wrapper,"01,07,09",app/actions/home_actions.py:aviso_do_wrapper,app/actions/jogar/painel.py:Aviso,CURADO,,A dispensa calava só a aba 07 e três telas seguiam acusando. Curado em 05/09/2026 — régua test_a_dispensa_cala_as_quatro_telas.py
brilho.aplicar_ao_soltar,04,interface/pacotes/a04_iluminacao.py:_escrever_a_cor,interface/pacotes/a04_iluminacao.py:brilho,CURADO,,Recusava escrever quando o motor não afirma a cor. Decisão dela 04-Q4. Curado em 05/09/2026 — régua invertida em test_a_04_o_trilho_de_brilho_grava.py
curva.ler_do_disco,03,interface/pacotes/a03_gatilhos.py:_do_lado,app/actions/triggers_actions.py:_refresh_triggers_from_draft,DIVERGE-GTK-ERRA,,"O GTK escreve por NOME e lê por ÍNDICE: a curva de MultiPositionVibration desliza um parâmetro, e o deslocamento vai ao fio e volta ao disco. Quem está certo é o HTML."
coop.manda_nas_luzes,04,interface/pacotes/a04_iluminacao.py:o_coop_manda,app/actions/status_actions.py:_sync_coop_governa_luzes,DIVERGE-GTK-ERRA,,O daemon não zera `coop_enabled` quando o jogo derruba o co-op. O GTK lê a flag e afirma que o co-op manda; o HTML conta jogadores e acerta.
mascara.pode_escolher_agora,01,interface/pacotes/a01_jogar.py:_ressalva_da_mascara,app/actions/home_actions.py:_render_home,DIVERGE-GTK-ERRA,,"O GTK esconde a caixa da máscara fora do modo jogo, dizendo por omissão que não dá para escolher — e `gamepad.mask.set` grava sempre, sem porteiro de modo."
linha.copia_para_area_de_transferencia,07,interface/pacotes/a07_lancadores.py:para_a_area_de_transferencia,app/actions/launch_wrapper_dialog.py:_copy_wrapper_launch_to_clipboard,DIVERGE-GTK-ERRA,,"As duas funções do GTK concluem sucesso porque não levantou, e `set_text` não devolve nada. O HTML pede o texto de volta e compara. Promover a versão do HTML."
